PNB | ROE Difference = 803.60%
PNB | ROE Difference = 803.60%
PNB | ROE Difference = 803.60%
PNB | ROE Difference = 384.66%
PNB | ROE Difference = 384.66%
PNB | ROE Difference = 384.66%
PNB | ROE Difference = 384.66%
PNB | ROE Difference = 384.66%
PNB | ROE Difference = 214.54%
PNB | ROE Difference = 214.54%
PNB | ROE Difference = 214.54%
PNB | ROE Difference = 214.54%
PNB | ROE Difference = 214.54%
PNB | ROE Difference = 172.26%
PNB | ROE Difference = 172.26%
PNB | ROE Difference = 172.26%
PNB | ROE Difference = 172.26%
PNB | ROE Difference = 172.26%
PNB | ROE Difference = 13.51%
PNB | ROE Difference = 13.51%
PNB | ROE Difference = 13.51%
PNB | ROE Difference = 13.51%
PNB | ROE Difference = 13.51%
PNB | ROE Difference = 193.07%
PNB | ROE Difference = 193.07%
PNB | ROE Difference = 193.07%
PNB | ROE Difference = 193.07%
PNB | ROE Difference = 193.07%
PNB | ROE Difference = 137.15%
PNB | ROE Difference = 137.15%
PNB | ROE Difference = 137.15%
PNB | ROE Difference = 137.15%
PNB | ROE Difference = 137.15%
PNB | ROE Difference = 21.69%
PNB | ROE Difference = 21.69%
PNB | ROE Difference = 21.69%
PNB | ROE Difference = 21.69%
PNB | ROE Difference = 21.69%
PNB | ROE Difference = 31.17%
PNB | ROE Difference = 31.17%
PNB | ROE Difference = 31.17%
PNB | ROE Difference = 31.17%
PNB | ROE Difference = 31.17%
PNB | ROE Difference = 21.97%
PNB | ROE Difference = 21.97%
PNB | ROE Difference = 21.97%
PNB | ROE Difference = 21.97%
PNB | ROE Difference = 21.97%
PNB | ROE Difference = 52.62%
PNB | ROE Difference = 52.62%
PNB | ROE Difference = 52.62%
PNB | ROE Difference = 52.62%
PNB | ROE Difference = 52.62%
POWERGRID | ROE Difference = 5.89%
POWERGRID | ROE Difference = 5.89%
POWERGRID | ROE Difference = 5.87%
POWERGRID | ROE Difference = 5.87%
POWERGRID | ROE Difference = 5.45%
POWERGRID | ROE Difference = 5.45%
